x y z u v
1.692164 0.283071 0.000000 0.999885 0.015158
6.196428 5.454317 0.000000 0.988802 -0.149236
6.788272 5.288477 0.000000 0.999978 -0.006674
4.059292 4.174311 0.000000 0.999193 0.040163
4.005924 3.955578 0.000000 0.283848 -0.958869
5.061715 4.099736 0.000000 -0.076645 0.997058
4.692407 3.848639 0.000000 -0.387183 0.922003
5.202034 5.723627 0.000000 0.989025 -0.147747
2.455787 1.369398 0.000000 0.999209 -0.039757
2.640855 1.010284 0.000000 0.999988 0.004956
8.416415 0.964612 0.000000 0.999558 -0.029715
0.371808 1.853527 0.000000 0.982086 -0.188432
0.330775 2.022700 0.000000 0.953872 -0.300213
7.790528 1.136448 0.000000 0.999884 0.015236
7.620971 0.715141 0.000000 0.999554 -0.029862
8.613366 4.748543 0.000000 0.999471 0.032529
0.076952 5.727442 0.000000 0.997610 -0.069094
4.481814 1.062924 0.000000 0.998402 0.056507
4.354067 1.439917 0.000000 0.999910 0.013400
8.878535 2.781250 0.000000 0.358928 0.933365
8.577240 2.545103 0.000000 0.797774 0.602956
3.798220 5.055495 0.000000 0.999845 0.017586
3.438721 4.727582 0.000000 0.999936 0.011337
4.401664 4.807369 0.000000 0.999426 -0.033891
4.985483 5.215852 0.000000 0.993664 -0.112396
5.623639 5.282322 0.000000 0.982092 -0.188402
5.266108 5.276352 0.000000 0.986137 -0.165933
2.943178 0.251272 0.000000 0.999945 -0.010522
1.489534 0.744208 0.000000 0.998895 0.047000
1.669304 1.014377 0.000000 0.999649 0.026488
2.774768 0.517979 0.000000 0.999984 -0.005682
2.873050 0.133644 0.000000 0.999999 0.001144
7.644051 4.185178 0.000000 0.853450 -0.521174
5.035154 0.600874 0.000000 0.990659 0.136365
0.131911 4.068687 0.000000 0.972234 0.234013
0.294863 4.164720 0.000000 0.975244 0.221133
0.765766 3.379478 0.000000 0.997670 0.068228
0.747691 3.802807 0.000000 0.884397 0.466735
2.421786 5.677267 0.000000 0.999999 0.001052
2.982408 5.726986 0.000000 0.999974 0.007240
2.614819 5.753381 0.000000 0.999966 0.008255
2.388560 5.461722 0.000000 0.999995 -0.003211
0.152858 5.285179 0.000000 0.999873 -0.015938
0.218491 1.201292 0.000000 0.999971 -0.007626
0.428332 3.323015 0.000000 0.744668 0.667435
0.648776 2.594021 0.000000 0.962325 -0.271903
0.046451 3.093750 0.000000 0.691126 -0.722734
8.660072 1.990501 0.000000 0.882148 0.470971
8.945869 1.387277 0.000000 0.998751 0.049959
8.706548 3.644758 0.000000 0.676058 -0.736848
8.941458 3.054641 0.000000 0.203672 -0.979039
8.215452 4.503100 0.000000 0.959198 -0.282734
8.660792 3.738198 0.000000 0.824315 -0.566131
8.939859 1.032244 0.000000 0.999674 -0.025519
8.848625 0.699641 0.000000 0.998241 -0.059285
5.780989 5.152396 0.000000 0.977277 -0.211965
5.660240 5.626804 0.000000 0.979372 -0.202067
4.113430 0.286089 0.000000 0.999476 0.032366
4.341781 0.300764 0.000000 0.999089 0.042677
0.727661 3.915566 0.000000 0.915703 0.401856
1.247082 3.912725 0.000000 0.988712 0.149828
8.205644 1.670583 0.000000 0.949363 0.314181
8.292435 1.825698 0.000000 0.920044 0.391816
4.241968 2.385973 0.000000 0.720101 0.693870
4.150844 1.894225 0.000000 0.996942 -0.078150
4.271935 2.180231 0.000000 0.448401 0.893833
4.382735 2.199404 0.000000 0.572037 0.820228
3.915155 1.548452 0.000000 0.999726 0.023397
4.276701 1.523805 0.000000 0.999988 0.004997
0.413212 4.600678 0.000000 0.994903 0.100835
0.248270 4.429875 0.000000 0.989546 0.144220
0.899564 4.544332 0.000000 0.997238 0.074267
0.726640 4.788856 0.000000 0.999970 -0.007741
0.574201 1.360787 0.000000 0.999205 -0.039878
0.615750 1.255552 0.000000 0.998236 -0.059368
8.530294 0.304752 0.000000 0.997415 -0.071858
1.068746 2.025469 0.000000 0.928329 -0.371760
1.218111 1.714358 0.000000 0.976537 -0.215351
0.388449 1.288347 0.000000 0.999662 -0.025993
7.942655 4.122990 0.000000 0.911559 -0.411168
8.098780 3.946159 0.000000 0.894664 -0.446739
8.528305 1.877818 0.000000 0.878592 0.477573
8.674550 2.241845 0.000000 0.850866 0.525382
8.933151 4.009060 0.000000 0.785166 -0.619285
8.711731 4.225021 0.000000 0.980399 -0.197022
