x y z u v
1.795192 0.484712 0.000000 0.998841 0.048130
1.692164 0.283071 0.000000 0.999470 0.032551
6.196428 5.454317 0.000000 0.992057 -0.125792
6.788272 5.288477 0.000000 0.999983 0.005763
4.059292 4.174311 0.000000 0.999835 0.018159
4.005924 3.955578 0.000000 1.000000 0.000860
5.061715 4.099736 0.000000 0.999664 -0.025906
4.692407 3.848639 0.000000 0.999988 0.004799
5.202034 5.723627 0.000000 0.986729 -0.162374
2.455787 1.369398 0.000000 0.999977 0.006798
2.640855 1.010284 0.000000 0.998700 0.050978
8.416415 0.964612 0.000000 0.997659 -0.068388
0.371808 1.853527 0.000000 0.999851 -0.017244
0.330775 2.022700 0.000000 1.000000 -0.000466
7.790528 1.136448 0.000000 0.993620 -0.112779
7.620971 0.715141 0.000000 0.974318 -0.225178
8.613366 4.748543 0.000000 0.998281 0.058603
0.076952 5.727442 0.000000 0.996877 -0.078967
4.481814 1.062924 0.000000 0.996491 0.083695
4.354067 1.439917 0.000000 0.999457 0.032951
8.878535 2.781250 0.000000 0.855672 0.517518
8.577240 2.545103 0.000000 0.881960 0.471325
3.798220 5.055495 0.000000 0.999586 -0.028766
3.438721 4.727582 0.000000 0.999763 -0.021754
4.401664 4.807369 0.000000 0.998242 -0.059277
4.985483 5.215852 0.000000 0.989653 -0.143484
5.623639 5.282322 0.000000 0.978398 -0.206732
5.266108 5.276352 0.000000 0.981770 -0.190071
2.943178 0.251272 0.000000 0.999809 0.019565
1.489534 0.744208 0.000000 0.996762 0.080406
1.669304 1.014377 0.000000 0.997003 0.077362
2.774768 0.517979 0.000000 0.999245 0.038840
2.873050 0.133644 0.000000 0.999918 0.012832
7.644051 4.185178 0.000000 0.845495 -0.533983
5.035154 0.600874 0.000000 0.985267 0.171021
0.131911 4.068687 0.000000 0.999947 0.010323
0.294863 4.164720 0.000000 0.999972 0.007446
0.765766 3.379478 0.000000 1.000000 0.000309
0.747691 3.802807 0.000000 0.999999 -0.001136
2.421786 5.677267 0.000000 0.999702 -0.024391
2.982408 5.726986 0.000000 0.999755 -0.022147
2.614819 5.753381 0.000000 0.999869 -0.016170
2.388560 5.461722 0.000000 0.998929 -0.046264
0.152858 5.285179 0.000000 0.999053 -0.043520
0.218491 1.201292 0.000000 0.999937 0.011244
0.428332 3.323015 0.000000 1.000000 0.000260
0.648776 2.594021 0.000000 1.000000 -0.000923
0.046451 3.093750 0.000000 1.000000 0.000004
8.660072 1.990501 0.000000 0.904195 0.427120
8.945869 1.387277 0.000000 0.999649 0.026477
8.706548 3.644758 0.000000 0.716169 -0.697927
8.941458 3.054641 0.000000 0.174155 -0.984718
8.215452 4.503100 0.000000 0.982501 -0.186256
8.660792 3.738198 0.000000 0.822535 -0.568714
8.939859 1.032244 0.000000 0.999310 -0.037146
8.848625 0.699641 0.000000 0.997187 -0.074948
5.780989 5.152396 0.000000 0.969820 -0.243820
5.660240 5.626804 0.000000 0.958378 -0.285503
4.113430 0.286089 0.000000 0.996890 0.078800
4.341781 0.300764 0.000000 0.994590 0.103874
0.727661 3.915566 0.000000 1.000000 0.000660
1.247082 3.912725 0.000000 0.999999 -0.001333
8.205644 1.670583 0.000000 0.967807 0.251692
8.292435 1.825698 0.000000 0.968796 0.247859
4.241968 2.385973 0.000000 0.999988 0.004878
4.150844 1.894225 0.000000 0.999954 -0.009632
4.271935 2.180231 0.000000 0.999993 0.003827
4.382735 2.199404 0.000000 0.999977 0.006748
3.915155 1.548452 0.000000 0.999958 0.009157
4.276701 1.523805 0.000000 0.999690 0.024909
0.413212 4.600678 0.000000 0.999688 0.024997
0.248270 4.429875 0.000000 0.999741 0.022753
0.899564 4.544332 0.000000 0.999685 0.025095
0.726640 4.788856 0.000000 0.999461 -0.032821
0.574201 1.360787 0.000000 0.999998 -0.001821
0.615750 1.255552 0.000000 0.999968 -0.008023
8.530294 0.304752 0.000000 0.993046 -0.117723
1.068746 2.025469 0.000000 0.999956 -0.009412
1.218111 1.714358 0.000000 0.999851 -0.017274
0.388449 1.288347 0.000000 0.999989 0.004729
7.942655 4.122990 0.000000 0.898404 -0.439169
8.098780 3.946159 0.000000 0.885709 -0.464241
8.528305 1.877818 0.000000 0.923132 0.384483
8.674550 2.241845 0.000000 0.913996 0.405724
8.933151 4.009060 0.000000 0.999047 -0.043656
8.711731 4.225021 0.000000 0.998021 -0.062885
8.872263 4.102271 0.000000 0.998751 -0.049973
